index,subscriber,main-imsi,main-msisdn,main-iccid,secondry-imsi,secondry-iccid,secondry-imei,secondry-eid,token
1,NDYwMDAwMTAwMDAwMDAxQGltcy5tbmMwMDgubWNjNDYwLjNncHBuZXR3b3JrLm9yZw==,460000100000001,13100300002,46014567897700000001,460000300000002,46014567897900000002,867263030000000,34840082573294848000000000000083,cHZidTlkOHptaGk3
2,NDYwMDAwNDAwMDAwMDAzQGltcy5tbmMwMDgubWNjNDYwLjNncHBuZXR3b3JrLm9yZw==,460000400000003,13400300004,46014567898000000003,460000600000004,46014567898200000004,867263030000018,34840082573294848000000100000002,ZHg3cmgzdXA4amZt
3,NDYwMDAwNzAwMDAwMDA1QGltcy5tbmMwMDgubWNjNDYwLjNncHBuZXR3b3JrLm9yZw==,460000700000005,13700300006,46014567898300000005,460000900000006,46014567898500000006,867263030000026,34840082573294848000000200000018,YTNjbTJqa2x6aXhu
4,NDYwMDAxMDAwMDAwMDA3QGltcy5tbmMwMDgubWNjNDYwLjNncHBuZXR3b3JrLm9yZw==,460001000000007,14000300008,46014567898600000007,460001200000008,46014567898800000008,867263030000034,34840082573294848000000300000034,eWV4dDF6NWRuZ2to
5,NDYwMDAxMzAwMDAwMDA5QGltcy5tbmMwMDgubWNjNDYwLjNncHBuZXR3b3JrLm9yZw==,460001300000009,14300300010,46014567898900000009,460001500000010,46014567899100000010,867263030000042,34840082573294848000000400000050,NXFoNDNuZTFtOXI3
6,NDYwMDAxNjAwMDAwMDExQGltcy5tbmMwMDgubWNjNDYwLjNncHBuZXR3b3JrLm9yZw==,460001600000011,14600300012,46014567899200000011,460001800000012,46014567899400000012,867263030000059,34840082573294848000000500000066,czdweW4zdTJlMXhq
7,NDYwMDAxOTAwMDAwMDEzQGltcy5tbmMwMDgubWNjNDYwLjNncHBuZXR3b3JrLm9yZw==,460001900000013,14900300014,46014567899500000013,460002100000014,46014567899700000014,867263030000067,34840082573294848000000600000082,eW40a2I2M3gxb2Nl
8,NDYwMDAyMjAwMDAwMDE1QGltcy5tbmMwMDgubWNjNDYwLjNncHBuZXR3b3JrLm9yZw==,460002200000015,15200300016,46014567899800000015,460002400000016,46014567900000000016,867263030000075,34840082573294848000000700000098,a3N1NTA4Y2FscGlv
9,NDYwMDAyNTAwMDAwMDE3QGltcy5tbmMwMDgubWNjNDYwLjNncHBuZXR3b3JrLm9yZw==,460002500000017,15500300018,46014567900100000017,460002700000018,46014567900300000018,867263030000083,34840082573294848000000800000017,dDdxd2VwZjA5M2N4
10,NDYwMDAyODAwMDAwMDE5QGltcy5tbmMwMDgubWNjNDYwLjNncHBuZXR3b3JrLm9yZw==,460002800000019,15800300020,46014567900400000019,460003000000020,46014567900600000020,867263030000091,34840082573294848000000900000033,bXp1cWhzdHk4bnBq
11,NDYwMDAzMTAwMDAwMDIxQGltcy5tbmMwMDgubWNjNDYwLjNncHBuZXR3b3JrLm9yZw==,460003100000021,16100300022,46014567900700000021,460003300000022,46014567900900000022,867263030000109,34840082573294848000001000000049,bmw4NHV5OWZwNmlh
12,NDYwMDAzNDAwMDAwMDIzQGltcy5tbmMwMDgubWNjNDYwLjNncHBuZXR3b3JrLm9yZw==,460003400000023,16400300024,46014567901000000023,460003600000024,46014567901200000024,867263030000117,34840082573294848000001100000065,MXAyN2xxOHVoenhv
13,NDYwMDAzNzAwMDAwMDI1QGltcy5tbmMwMDgubWNjNDYwLjNncHBuZXR3b3JrLm9yZw==,460003700000025,16700300026,46014567901300000025,460003900000026,46014567901500000026,867263030000125,34840082573294848000001200000081,cXZyN2FrbnB4aDlt
